K,L,R,Rstitched,a,Recall,UserTime,ElapsedTime
100,150,10,-1,1.2,93.31,31.250000 2.75838,
100,150,20,-1,1.2,97.94,40.781250 3.88966,
100,150,30,-1,1.2,99.16,46.656250 5.2736,
100,150,40,-1,1.2,99.42,52.109375 6.88449,
100,150,50,-1,1.2,99.58,55.656250 8.19079,
100,150,60,-1,1.2,99.79,59.343750 9.68306,
100,150,70,-1,1.2,99.73,62.546875 11.2499,
100,150,80,-1,1.2,99.91,64.750000 12.3289,
100,150,90,-1,1.2,99.88,67.593750 13.5666,
100,150,100,-1,1.2,99.83,69.296875 14.7443,
100,150,110,-1,1.2,99.84,71.15625 15.4986,
